algorithm,comparisons,match,wall_sec,qr_file,qr_idx,text_h,text_w
Bird-BM,272,"(30, 30)",0.002188,benign_10035.png,43,41,41
Naive,2146,"(30, 30)",0.00187,benign_10036.png,44,41,41
Rabin-Karp,1166,"(30, 30)",0.002141,benign_10036.png,44,41,41
Vectorized RK,1166,"(30, 30)",0.001128,benign_10036.png,44,41,41
Greedy KMP,3049,"(30, 30)",0.001533,benign_10036.png,44,41,41
Greedy BM,642,"(30, 30)",0.000412,benign_10036.png,44,41,41
Bird-KMP,1313,"(30, 30)",0.002814,benign_10036.png,44,41,41
Bird-BM,264,"(30, 30)",0.002208,benign_10036.png,44,41,41
Naive,2146,"(30, 30)",0.00174,benign_10037.png,45,41,41
Rabin-Karp,1166,"(30, 30)",0.002136,benign_10037.png,45,41,41
Vectorized RK,1166,"(30, 30)",0.001817,benign_10037.png,45,41,41
Greedy KMP,3040,"(30, 30)",0.001921,benign_10037.png,45,41,41
Greedy BM,718,"(30, 30)",0.000455,benign_10037.png,45,41,41
Bird-KMP,1318,"(30, 30)",0.002457,benign_10037.png,45,41,41
Bird-BM,273,"(30, 30)",0.002625,benign_10037.png,45,41,41
Naive,2215,"(30, 30)",0.001767,benign_10038.png,46,41,41
Rabin-Karp,1166,"(30, 30)",0.002078,benign_10038.png,46,41,41
Vectorized RK,1166,"(30, 30)",0.001494,benign_10038.png,46,41,41
Greedy KMP,3083,"(30, 30)",0.001648,benign_10038.png,46,41,41
Greedy BM,733,"(30, 30)",0.00047,benign_10038.png,46,41,41
Bird-KMP,1340,"(30, 30)",0.00247,benign_10038.png,46,41,41
Bird-BM,280,"(30, 30)",0.002194,benign_10038.png,46,41,41
Naive,2104,"(30, 30)",0.002088,benign_10039.png,47,41,41
Rabin-Karp,1166,"(30, 30)",0.002042,benign_10039.png,47,41,41
Vectorized RK,1166,"(30, 30)",0.00119,benign_10039.png,47,41,41
Greedy KMP,3031,"(30, 30)",0.001435,benign_10039.png,47,41,41
Greedy BM,666,"(30, 30)",0.000543,benign_10039.png,47,41,41
Bird-KMP,1318,"(30, 30)",0.002466,benign_10039.png,47,41,41
Bird-BM,270,"(30, 30)",0.002191,benign_10039.png,47,41,41
Naive,2318,"(30, 30)",0.001839,benign_1004.png,48,41,41
Rabin-Karp,1166,"(30, 30)",0.002019,benign_1004.png,48,41,41
Vectorized RK,1166,"(30, 30)",0.00144,benign_1004.png,48,41,41
Greedy KMP,3096,"(30, 30)",0.001512,benign_1004.png,48,41,41
Greedy BM,797,"(30, 30)",0.000501,benign_1004.png,48,41,41
Bird-KMP,1310,"(30, 30)",0.002465,benign_1004.png,48,41,41
Bird-BM,267,"(30, 30)",0.002314,benign_1004.png,48,41,41
Naive,2207,"(30, 30)",0.001766,benign_10040.png,49,41,41
Rabin-Karp,1166,"(30, 30)",0.002035,benign_10040.png,49,41,41
Vectorized RK,1166,"(30, 30)",0.001123,benign_10040.png,49,41,41
Greedy KMP,3065,"(30, 30)",0.001455,benign_10040.png,49,41,41
Greedy BM,709,"(30, 30)",0.000447,benign_10040.png,49,41,41
Bird-KMP,1306,"(30, 30)",0.002829,benign_10040.png,49,41,41
Bird-BM,262,"(30, 30)",0.002208,benign_10040.png,49,41,41
Naive,2263,"(30, 30)",0.002143,benign_10041.png,50,41,41
Rabin-Karp,1166,"(30, 30)",0.002355,benign_10041.png,50,41,41
Vectorized RK,1166,"(30, 30)",0.001288,benign_10041.png,50,41,41
Greedy KMP,3128,"(30, 30)",0.001645,benign_10041.png,50,41,41
Greedy BM,718,"(30, 30)",0.000483,benign_10041.png,50,41,41
Bird-KMP,1327,"(30, 30)",0.002514,benign_10041.png,50,41,41
Bird-BM,261,"(30, 30)",0.002627,benign_10041.png,50,41,41
Naive,2156,"(30, 30)",0.001849,benign_10042.png,51,41,41
Rabin-Karp,1166,"(30, 30)",0.002049,benign_10042.png,51,41,41
Vectorized RK,1166,"(30, 30)",0.001138,benign_10042.png,51,41,41
Greedy KMP,3054,"(30, 30)",0.001443,benign_10042.png,51,41,41
Greedy BM,660,"(30, 30)",0.000426,benign_10042.png,51,41,41
Bird-KMP,1314,"(30, 30)",0.002465,benign_10042.png,51,41,41
Bird-BM,271,"(30, 30)",0.002194,benign_10042.png,51,41,41
Naive,2225,"(30, 30)",0.002251,benign_10043.png,52,41,41
Rabin-Karp,1166,"(30, 30)",0.002262,benign_10043.png,52,41,41
Vectorized RK,1166,"(30, 30)",0.001167,benign_10043.png,52,41,41
Greedy KMP,3109,"(30, 30)",0.001471,benign_10043.png,52,41,41
Greedy BM,718,"(30, 30)",0.000456,benign_10043.png,52,41,41
Bird-KMP,1311,"(30, 30)",0.002471,benign_10043.png,52,41,41
Bird-BM,266,"(30, 30)",0.002199,benign_10043.png,52,41,41
Naive,2219,"(30, 30)",0.001787,benign_10044.png,53,41,41
Rabin-Karp,1166,"(30, 30)",0.002211,benign_10044.png,53,41,41
Vectorized RK,1166,"(30, 30)",0.001365,benign_10044.png,53,41,41
